Линия метро, Линия метро, Станция отправления, Станция прибытия, Время проезда в метро, Схема метро, Расстояние, Ссылка на маршрут на карте
Замоскворецкая линия, Люблинская линия, Красногвардейская, Зябликово, 150, http://metro.yandex.ru/moscow?from=39&to=185&route=0, 0.279103, http://www.yournavigation.org/?flat=55.613717flon=37.746355&tlat=55.612329&tlon=37.745205&v=foot&shortest=1&layer=mapnik
Замоскворецкая линия, Замоскворецкая линия, Красногвардейская, Алма-Атинская, 250, http://metro.yandex.ru/moscow?from=39&to=187&route=0, 3.457824, http://www.yournavigation.org/?flat=55.613717flon=37.746355&tlat=55.633490&tlon=37.765678&v=foot&shortest=1&layer=mapnik
Арбатско-Покровская линия, Арбатско-Покровская линия, Щёлковская, Первомайская, 135, http://metro.yandex.ru/moscow?from=40&to=41&route=0, 1.844422, http://www.yournavigation.org/?flat=55.810228flon=37.798556&tlat=55.794376&tlon=37.799364&v=foot&shortest=1&layer=mapnik
Арбатско-Покровская линия, Арбатско-Покровская линия, Первомайская, Измайловская, 170, http://metro.yandex.ru/moscow?from=41&to=42&route=0, 1.891647, http://www.yournavigation.org/?flat=55.794376flon=37.799364&tlat=55.787746&tlon=37.781389&v=foot&shortest=1&layer=mapnik
Арбатско-Покровская линия, Арбатско-Покровская линия, Измайловская, Партизанская, 190, http://metro.yandex.ru/moscow?from=42&to=43&route=0, 2.267157, http://www.yournavigation.org/?flat=55.787746flon=37.781389&tlat=55.788424&tlon=37.749265&v=foot&shortest=1&layer=mapnik
Арбатско-Покровская линия, Арбатско-Покровская линия, Партизанская, Семёновская, 165, http://metro.yandex.ru/moscow?from=43&to=44&route=0, 2.351896, http://www.yournavigation.org/?flat=55.788424flon=37.749265&tlat=55.783195&tlon=37.719423&v=foot&shortest=1&layer=mapnik
Арбатско-Покровская линия, Арбатско-Покровская линия, Семёновская, Электрозаводская, 110, http://metro.yandex.ru/moscow?from=44&to=45&route=0, 1.138428, http://www.yournavigation.org/?flat=55.783195flon=37.719423&tlat=55.782066&tlon=37.705284&v=foot&shortest=1&layer=mapnik
Арбатско-Покровская линия, Арбатско-Покровская линия, Электрозаводская, Бауманская, 145, http://metro.yandex.ru/moscow?from=45&to=46&route=0, 2.439717, http://www.yournavigation.org/?flat=55.782066flon=37.705284&tlat=55.772406&tlon=37.679035&v=foot&shortest=1&layer=mapnik
Арбатско-Покровская линия, Арбатско-Покровская линия, Бауманская, Курская, 175, http://metro.yandex.ru/moscow?from=46&to=47&route=0, 2.445974, http://www.yournavigation.org/?flat=55.772406flon=37.679035&tlat=55.758640&tlon=37.659155&v=foot&shortest=1&layer=mapnik
Арбатско-Покровская линия, Арбатско-Покровская линия, Курская, Площадь Революции, 185, http://metro.yandex.ru/moscow?from=47&to=48&route=0, 2.341682, http://www.yournavigation.org/?flat=55.758640flon=37.659155&tlat=55.756726&tlon=37.622280&v=foot&shortest=1&layer=mapnik
Арбатско-Покровская линия, Кольцевая линия, Курская, Курская, 240, http://metro.yandex.ru/moscow?from=47&to=76&route=0, 0.025462, http://www.yournavigation.org/?flat=55.758640flon=37.659155&tlat=55.758640&tlon=37.659155&v=foot&shortest=1&layer=mapnik
Арбатско-Покровская линия, Люблинская линия, Курская, Чкаловская, 180, http://metro.yandex.ru/moscow?from=47&to=160&route=0, 0.444862, http://www.yournavigation.org/?flat=55.758640flon=37.659155&tlat=55.755930&tlon=37.659263&v=foot&shortest=1&layer=mapnik
Арбатско-Покровская линия, Арбатско-Покровская линия, Площадь Революции, Арбатская, 125, http://metro.yandex.ru/moscow?from=48&to=49&route=0, 1.82044, http://www.yournavigation.org/?flat=55.756726flon=37.622280&tlat=55.752131&tlon=37.601519&v=foot&shortest=1&layer=mapnik
Арбатско-Покровская линия, Арбатско-Покровская линия, Арбатская, Смоленская, 140, http://metro.yandex.ru/moscow?from=49&to=50&route=0, 1.63156, http://www.yournavigation.org/?flat=55.752131flon=37.601519&tlat=55.747642&tlon=37.583841&v=foot&shortest=1&layer=mapnik
Арбатско-Покровская линия, Филевская линия, Арбатская, Александровский сад, 180, http://metro.yandex.ru/moscow?from=49&to=68&route=0, 0.85576, http://www.yournavigation.org/?flat=55.752131flon=37.601519&tlat=55.752075&tlon=37.609308&v=foot&shortest=1&layer=mapnik
Арбатско-Покровская линия, Серпуховско-Тимирязевская линия, Арбатская, Боровицкая, 180, http://metro.yandex.ru/moscow?from=49&to=144&route=0, 1.006164, http://www.yournavigation.org/?flat=55.752131flon=37.601519&tlat=55.750454&tlon=37.609254&v=foot&shortest=1&layer=mapnik
Арбатско-Покровская линия, Арбатско-Покровская линия, Смоленская, Киевская, 105, http://metro.yandex.ru/moscow?from=50&to=51&route=0, 1.895836, http://www.yournavigation.org/?flat=55.747642flon=37.583841&tlat=55.743117&tlon=37.564132&v=foot&shortest=1&layer=mapnik
Арбатско-Покровская линия, Арбатско-Покровская линия, Киевская, Парк Победы, 270, http://metro.yandex.ru/moscow?from=51&to=52&route=0, 4.021199, http://www.yournavigation.org/?flat=55.743117flon=37.564132&tlat=55.736164&tlon=37.516925&v=foot&shortest=1&layer=mapnik
Арбатско-Покровская линия, Филевская линия, Киевская, Киевская, 240, http://metro.yandex.ru/moscow?from=51&to=65&route=0, 0.013493, http://www.yournavigation.org/?flat=55.743117flon=37.564132&tlat=55.743117&tlon=37.564132&v=foot&shortest=1&layer=mapnik
Арбатско-Покровская линия, Кольцевая линия, Киевская, Киевская, 180, http://metro.yandex.ru/moscow?from=51&to=82&route=0, 0.013493, http://www.yournavigation.org/?flat=55.743117flon=37.564132&tlat=55.743117&tlon=37.564132&v=foot&shortest=1&layer=mapnik
Арбатско-Покровская линия, Арбатско-Покровская линия, Парк Победы, Славянский бульвар, 260, http://metro.yandex.ru/moscow?from=52&to=53&route=0, 3.805016, http://www.yournavigation.org/?flat=55.736164flon=37.516925&tlat=55.729828&tlon=37.472171&v=foot&shortest=1&layer=mapnik
Арбатско-Покровская линия, Калининская линия, Парк Победы, Парк Победы, 120, http://metro.yandex.ru/moscow?from=52&to=194&route=0, 0.489374, http://www.yournavigation.org/?flat=55.736164flon=37.516925&tlat=55.73714&tlon=37.51994&v=foot&shortest=1&layer=mapnik
Арбатско-Покровская линия, Арбатско-Покровская линия, Славянский бульвар, Кунцевская, 170, http://metro.yandex.ru/moscow?from=53&to=54&route=0, 2.360227, http://www.yournavigation.org/?flat=55.729828flon=37.472171&tlat=55.730877&tlon=37.446874&v=foot&shortest=1&layer=mapnik
Арбатско-Покровская линия, Арбатско-Покровская линия, Кунцевская, Молодёжная, 180, http://metro.yandex.ru/moscow?from=54&to=55&route=0, 2.497786, http://www.yournavigation.org/?flat=55.730877flon=37.446874&tlat=55.741004&tlon=37.416386&v=foot&shortest=1&layer=mapnik
Арбатско-Покровская линия, Филевская линия, Кунцевская, Кунцевская, 180, http://metro.yandex.ru/moscow?from=54&to=58&route=0, 0.074234, http://www.yournavigation.org/?flat=55.730877flon=37.446874&tlat=55.730877&tlon=37.446874&v=foot&shortest=1&layer=mapnik
Арбатско-Покровская линия, Арбатско-Покровская линия, Молодёжная, Крылатское, 195, http://metro.yandex.ru/moscow?from=55&to=56&route=0, 2.282769, http://www.yournavigation.org/?flat=55.741004flon=37.416386&tlat=55.756842&tlon=37.408139&v=foot&shortest=1&layer=mapnik
Арбатско-Покровская линия, Арбатско-Покровская линия, Крылатское, Строгино, 535, http://metro.yandex.ru/moscow?from=56&to=57&route=0, 7.995124, http://www.yournavigation.org/?flat=55.756842flon=37.408139&tlat=55.803691&tlon=37.403118&v=foot&shortest=1&layer=mapnik
Арбатско-Покровская линия, Арбатско-Покровская линия, Строгино, Мякинино, 205, http://metro.yandex.ru/moscow?from=57&to=178&route=0, 3.413564, http://www.yournavigation.org/?flat=55.803691flon=37.403118&tlat=55.823990&tlon=37.384747&v=foot&shortest=1&layer=mapnik
Филевская линия, Филевская линия, Кунцевская, Пионерская, 130, http://metro.yandex.ru/moscow?from=58&to=59&route=0, 1.501415, http://www.yournavigation.org/?flat=55.730877flon=37.446874&tlat=55.735986&tlon=37.467078&v=foot&shortest=1&layer=mapnik
Филевская линия, Филевская линия, Пионерская, Филёвский парк, 115, http://metro.yandex.ru/moscow?from=59&to=60&route=0, 1.263714, http://www.yournavigation.org/?flat=55.735986flon=37.467078&tlat=55.739519&tlon=37.483328&v=foot&shortest=1&layer=mapnik
Филевская линия, Филевская линия, Филёвский парк, Багратионовская, 115, http://metro.yandex.ru/moscow?from=60&to=61&route=0, 1.22927, http://www.yournavigation.org/?flat=55.739519flon=37.483328&tlat=55.743801&tlon=37.497863&v=foot&shortest=1&layer=mapnik
Филевская линия, Филевская линия, Багратионовская, Фили, 140, http://metro.yandex.ru/moscow?from=61&to=62&route=0, 1.515391, http://www.yournavigation.org/?flat=55.743801flon=37.497863&tlat=55.745970&tlon=37.514949&v=foot&shortest=1&layer=mapnik
Филевская линия, Филевская линия, Фили, Кутузовская, 145, http://metro.yandex.ru/moscow?from=62&to=63&route=0, 2.286527, http://www.yournavigation.org/?flat=55.745970flon=37.514949&tlat=55.740178&tlon=37.534236&v=foot&shortest=1&layer=mapnik
Филевская линия, Филевская линия, Кутузовская, Студенческая, 120, http://metro.yandex.ru/moscow?from=63&to=64&route=0, 1.165438, http://www.yournavigation.org/?flat=55.740178flon=37.534236&tlat=55.738784&tlon=37.548375&v=foot&shortest=1&layer=mapnik
Филевская линия, Филевская линия, Студенческая, Киевская, 140, http://metro.yandex.ru/moscow?from=64&to=65&route=0, 1.20782, http://www.yournavigation.org/?flat=55.738784flon=37.548375&tlat=55.743117&tlon=37.564132&v=foot&shortest=1&layer=mapnik
Филевская линия, Филевская линия, Киевская, Смоленская, 130, http://metro.yandex.ru/moscow?from=65&to=66&route=0, 1.883576, http://www.yournavigation.org/?flat=55.743117flon=37.564132&tlat=55.747642&tlon=37.583841&v=foot&shortest=1&layer=mapnik
Филевская линия, Филевская линия, Киевская, Выставочная, 395, http://metro.yandex.ru/moscow?from=65&to=69&route=0, 2.25753, http://www.yournavigation.org/?flat=55.743117flon=37.564132&tlat=55.749547&tlon=37.543021&v=foot&shortest=1&layer=mapnik
Филевская линия, Кольцевая линия, Киевская, Киевская, 360, http://metro.yandex.ru/moscow?from=65&to=82&route=0, 0.013493, http://www.yournavigation.org/?flat=55.743117flon=37.564132&tlat=55.743117&tlon=37.564132&v=foot&shortest=1&layer=mapnik
Филевская линия, Филевская линия, Смоленская, Арбатская, 115, http://metro.yandex.ru/moscow?from=66&to=67&route=0, 1.630847, http://www.yournavigation.org/?flat=55.747642flon=37.583841&tlat=55.752131&tlon=37.601519&v=foot&shortest=1&layer=mapnik
